Date,Sales,Normalized_Sales
2021-01-31,589518,0.36194471885171386
2021-02-28,573865,0.33114179224898954
2021-03-31,560862,0.30555369702026514
2021-04-30,503213,0.19210848423546645
2021-05-31,556446,0.2968636233041958
2021-06-30,405590,0.0
2021-07-31,405595,9.839304479286604e-06
2021-08-31,410385,0.009435892995595996
2021-09-30,437070,0.06194826100132633
2021-10-31,482236,0.1508286662232421
2021-11-30,472916,0.13248820267392947
2021-12-31,702809,0.5848856476033423
2022-01-31,561304,0.3064234915362304
2022-02-28,577904,0.3390899824073236
2022-03-31,653346,0.4875493441119635
2022-04-30,913756,1.0
2022-05-31,895237,0.9635571840697724
2022-06-30,668534,0.517437215398118
2022-07-31,509207,0.20390384244518522
2022-08-31,421632,0.03156842449120956
2022-09-30,586606,0.3562143079230017
2022-10-31,674642,0.5294569097499636
2022-11-30,541713,0.26787112872565266
2022-12-31,643900,0.4689609300897738
