Date,Sales
2021-01-31,589518
2021-02-28,573865
2021-03-31,560862
2021-04-30,503213
2021-05-31,556446
2021-06-30,405590
2021-07-31,405595
2021-08-31,410385
2021-09-30,437070
2021-10-31,482236
2021-11-30,472916
2021-12-31,702809
2022-01-31,561304
2022-02-28,577904
2022-03-31,653346
2022-04-30,913756
2022-05-31,895237
2022-06-30,668534
2022-07-31,509207
2022-08-31,421632
2022-09-30,586606
2022-10-31,674642
2022-11-30,541713
2022-12-31,643900
